Voyage to Italy (re-release)
"Aug 16, 2013"
Smash & Grab: The Story of the Pink Panthers
66
31/07/2013
Yossi
66
"Jan 25, 2013"
The Angels' Share
66
"Apr 12, 2013"
Byzantium
66
28/06/2013
The Bling Ring
66
14/06/2013
Don Jon
66
27/09/2013
Shepard & Dark
66
25/09/2013
The Revolutionary Optimists
66
13/03/2013
Lee Daniels' The Butler
66
"Aug 16, 2013"
Labor Day
66
"Dec 27, 2013"
You're Next
66
"Aug 23, 2013"
Greenwich Village: Music That Defined a Generation
65
"Jan 18, 2013"
Spinning Plates
65
25/10/2013
"Bless Me, Ultima"
65
22/02/2013
Philip Roth: Unmasked
65
13/03/2013
Birth of the Living Dead
65
18/10/2013
Faust
65
15/11/2013
My Brooklyn
65
"Jan 4, 2013"
Kill Your Darlings
65
16/10/2013
Venus and Serena
65
10/05/2013
Monsters University
65
21/06/2013
Paradise: Love
65
"Apr 26, 2013"
The We and the I
65
8/03/2013
Herb & Dorothy 50X50
65
13/09/2013
Red Flag
65
22/02/2013
The Gardener
64
11/06/2013
Sample This
64
13/09/2013
Pacific Rim
64
12/07/2013
Disconnect
64
"Apr 12, 2013"
Bettie Page Reveals All
64
22/11/2013
Dark Touch
64
27/09/2013
The Patience Stone
64
"Aug 14, 2013"
The Machine Which Makes Everything Disappear
64
"Aug 2, 2013"
Renoir
64
29/03/2013
Medora
64
8/11/2013
Enzo Avitabile Music Life
64
18/10/2013
The Shine of Day
64
12/07/2013
The Last Christeros
64
"Aug 30, 2013"
Out of the Furnace
64
"Dec 4, 2013"
Mr. Nobody
63
1/11/2013
Design Is One
63
11/10/2013
"It's Me, It's Me"
63
8/11/2013
Simon Killer
63
"Apr 5, 2013"
100 Bloody Acres
63
28/06/2013
Symphony of the Soil
63
11/10/2013
Violeta Went to Heaven
63
29/03/2013
Andre Gregory: Before and After Dinner
63
"Apr 3, 2013"
Storm Surfers 3D
63
14/06/2013
Saving Mr. Banks
63
"Dec 13, 2013"
The Summit
63
4/10/2013
Eden
63
20/03/2013
Weekend of a Champion
63
22/11/2013
Hors Satan (Outside Satan)
63
"Jan 18, 2013"
Israel: A Home Movie
63
10/07/2013
Spring Breakers
63
15/03/2013
Elemental
63
17/05/2013
Some Velvet Morning
63
"Dec 13, 2013"
Kon-Tiki
63
"Apr 26, 2013"
World War Z
63
21/06/2013
Zero Charisma
63
11/10/2013
State 194
63
17/05/2013
Student
63
31/05/2013
Peaches Does Herself
63
18/10/2013
Iron Man 3
62
3/05/2013
Grabbers
62
19/07/2013
42
62
"Apr 12, 2013"
Newlyweeds
62
18/09/2013
The Source Family
62
1/05/2013
The Dirties
62
4/10/2013
Despicable Me 2
62
3/07/2013
The Inevitable Defeat of Mister and Pete
62
11/10/2013
Camille Claudel 1915
62
16/10/2013
Supporting Characters
62
"Jan 25, 2013"
Aftermath
62
1/11/2013
Bad Milo!
62
4/10/2013
Le Pont du Nord
61
22/03/2013
The Jeffrey Dahmer Files
61
15/02/2013
Bidder 70
61
17/05/2013
The To Do List
61
26/07/2013
Generation Iron
61
20/09/2013
Pad Yatra: A Green Odyssey
61
15/11/2013
Paradise: Faith
61
"Aug 23, 2013"
Sunlight Jr.
61
15/11/2013
The Kings of Summer
61
31/05/2013
Fast & Furious 6
61
24/05/2013
Sing Me the Songs That Say I Love You: A Concert for Kate McGarrigle
61
26/06/2013
Haute Cuisine
61
20/09/2013
Metallica: Through the Never
61
27/09/2013
Trance
61
"Apr 5, 2013"
FrackNation
61
"Jan 11, 2013"
Elysium
61
"Aug 9, 2013"
The Last Gladiators
61
1/02/2013
Murph: The Protector
60
22/03/2013
"The Good Son: The Life of Ray ""Boom Boom"" Mancini"
60
"Aug 9, 2013"
Wish You Were Here
60
7/06/2013
The Wolverine
60
26/07/2013
+1
60
20/09/2013
The Unknown Known
60
"Dec 13, 2013"
Good Ol' Freda
60
6/09/2013
Caroline and Jackie
60
3/05/2013
The Ghosts in Our Machine
60
8/11/2013
C.O.G.
60
20/09/2013
Great Expectations
60
8/11/2013
At Any Price
60
"Apr 26, 2013"
Lone Survivor
60
"Dec 27, 2013"
The Heat
60
28/06/2013
Love Is All You Need
60
3/05/2013
The Motel Life
60
8/11/2013
The Iceman
60
3/05/2013
Abigail Harm
60
"Aug 30, 2013"
Electrick Children
60
8/03/2013
Price of Gold
60
16/09/2013
I Declare War
59
"Aug 30, 2013"
Girl Rising
59
7/03/2013
Ways to Live Forever
59
19/07/2013
Drew: The Man Behind the Poster
59
"Aug 16, 2013"
Torn
59
18/10/2013
The Best Man Holiday
59
15/11/2013
This Is Where We Live
59
22/11/2013
Cloudy with a Chance of Meatballs 2
59
27/09/2013
The Playroom
59
8/02/2013
Warm Bodies
59
1/02/2013
Hava Nagila: The Movie
59
1/03/2013
Running from Crazy
59
1/11/2013
Detroit Unleaded
59
15/11/2013
99%: The Occupy Wall Street Collaborative Film
59
6/09/2013
Mandela: Long Walk to Freedom
59
29/11/2013
New World
58
22/03/2013
To the Wonder
58
"Apr 12, 2013"
Jug Face
58
"Aug 9, 2013"
Stoker
58
1/03/2013
Turbo
58
17/07/2013
The Prey
58
7/06/2013
Wrong
58
29/03/2013
Kid-Thing
58
"Aug 7, 2013"
Vanishing Waves
58
15/03/2013
Rising from Ashes
58
"Aug 2, 2013"
Somebody Up There Likes Me
58
8/03/2013
A Bottle in the Gaza Sea (Une bouteille à la mer)
58
"Jan 4, 2013"
Somm
58
21/06/2013
Escape from Tomorrow
58
11/10/2013
No Place on Earth
58
22/03/2013
Go for Sisters
58
8/11/2013
Les Coquillettes
58
16/07/2013
The Lords of Salem
57
"Apr 19, 2013"
It's a Disaster
57
"Apr 12, 2013"
Eddie: The Sleepwalking Cannibal
57
"Apr 5, 2013"
Terraferma
57
24/07/2013
Pulling Strings
57
4/10/2013
My Father and The Man In Black
57
6/09/2013
Populaire
57
6/09/2013
Filly Brown
57
"Apr 19, 2013"
How I Live Now
57
8/11/2013
The Look of Love
57
5/07/2013
Evil Dead (2013)
57
"Apr 5, 2013"
Wampler's Ascent
57
1/03/2013
The Story of Luke
57
"Apr 5, 2013"
Geography Club
57
15/11/2013
Dog Pound
57
29/03/2013
Greetings from Tim Buckley
57
3/05/2013
Mama
57
"Jan 18, 2013"
The Company You Keep
57
"Apr 5, 2013"
Money for Nothing: Inside the Federal Reserve
57
6/09/2013
Unfinished Song
57
21/06/2013
Rubberneck
57
22/02/2013
Ilya and Emilia Kabakov: Enter Here
56
13/11/2013
La Maison de la Radio
56
4/09/2013
Tiger Eyes
56
7/06/2013
Greedy Lying Bastards
56
8/03/2013
The End of Love
56
1/03/2013
Midnight's Children
56
"Apr 26, 2013"
Remington and the Curse of the Zombadings
56
25/10/2013
The End of Time
56
29/11/2013
Downloaded
56
21/06/2013
Iceberg Slim: Portrait of a Pimp
56
19/07/2013
The Monk
56
8/03/2013
The Secret Disco Revolution
56
28/06/2013
I'm So Excited
55
28/06/2013
Spark: A Burning Man Story
55
"Aug 16, 2013"
Instructions Not Included
55
"Aug 30, 2013"
Man of Steel
55
14/06/2013
Lost in Thailand
55
8/02/2013
Things Never Said
55
6/09/2013
Ip Man: The Final Fight
55
20/09/2013
Forgetting the Girl
55
11/10/2013
2 Guns
55
"Aug 2, 2013"
About Time
55
1/11/2013
Capital
55
25/10/2013
The Croods
55
22/03/2013
Lion Ark
55
15/11/2013
Scatter My Ashes at Bergdorf's
55
3/05/2013
Clandestine Childhood
55
"Jan 11, 2013"
Everyday
55
22/11/2013
The Institute
55
11/10/2013
Antiviral
55
"Apr 12, 2013"
I Am Not a Hipster
55
"Jan 10, 2013"
The Great Gatsby
55
10/05/2013
The Reluctant Fundamentalist
54
"Apr 26, 2013"
Thor: The Dark World
54
8/11/2013
The Last Stand
54
"Jan 18, 2013"
Thanks for Sharing
54
20/09/2013
Concussion
54
4/10/2013
Pandora's Promise
54
12/06/2013
He's Way More Famous Than You
54
10/05/2013
Cooper and Hemingway: The True Gen
54
11/10/2013
All Is Bright
54
4/10/2013
Jackass Presents: Bad Grandpa
54
25/10/2013
Down the Shore
54
"Apr 5, 2013"
Toad Road
54
25/10/2013
Dear Mr. Watterson
54
15/11/2013
Fairhaven
54
"Jan 11, 2013"
Clip
54
15/03/2013
Oblivion
54
"Apr 19, 2013"
The Berlin File
54
15/02/2013
The ROMEOWS
54
19/07/2013
American Made Movie
54
"Aug 30, 2013"
A Single Shot
53
20/09/2013
The Taste of Money
53
"Jan 25, 2013"
$ellebrity
53
"Jan 11, 2013"
You Don't Need Feet to Dance
53
22/03/2013
Men at Lunch
53
20/09/2013
Big Ass Spider!
53
18/10/2013
Unmade in China
53
"Apr 19, 2013"
The Book Thief
53
8/11/2013
Broken
53
19/07/2013
Don't Stop Believin': Everyman's Journey
53
8/03/2013
Detour
53
29/03/2013
Free Samples
53
31/05/2013
"High Tech, Low Life"
53
"Jan 9, 2013"
Kevin Hart: Let Me Explain
53
3/07/2013
Man of Tai Chi
53
1/11/2013
John Dies at the End
53
"Jan 25, 2013"
Carrie
53
18/10/2013
The Artist and the Model
53
"Aug 2, 2013"
In the Name Of
52
30/10/2013
White House Down
52
28/06/2013
LUV
52
"Jan 18, 2013"
Passion
52
"Aug 30, 2013"
Storage 24
52
"Jan 11, 2013"
The Battle of Pussy Willow Creek
52
1/03/2013
Wasteland
52
26/07/2013
Nicky's Family
52
19/07/2013
A Fierce Green Fire
52
1/03/2013
Touchy Feely
52
6/09/2013
Ferlinghetti: A Rebirth of Wonder
52
8/02/2013
Epic
52
24/05/2013
Peeples
52
10/05/2013
Beautiful Creatures
52
14/02/2013
Cockneys vs Zombies
52
"Aug 2, 2013"
Dark Skies
51
22/02/2013
The Short Game
51
20/09/2013
Jack the Giant Slayer
51
1/03/2013
Snitch
51
22/02/2013
One Chance
51
"Dec 6, 2013"
Closed Circuit
51
"Aug 28, 2013"
Mademoiselle C
51
11/09/2013
Linsanity
51
4/10/2013
Broadway Idiot
51
11/10/2013
Ender's Game
51
1/11/2013
The Call
51
15/03/2013
Free the Mind
51
3/05/2013
Lovelace
51
"Aug 9, 2013"
Parkland
51
4/10/2013
The Human Scale
50
18/10/2013
Tricked
50
"Dec 13, 2013"
I Give It a Year
50
"Aug 9, 2013"
A.C.O.D.
50
4/10/2013
Finding Mr. Right
50
8/11/2013
Five Dances
50
4/10/2013
Breakup at a Wedding
50
"Aug 2, 2013"
As I Lay Dying
50
11/10/2013
Now You See Me
50
31/05/2013
Escape Plan
49
18/10/2013
One Direction: This Is Us
49
"Aug 30, 2013"
The Fifth Estate
49
18/10/2013
Big Sur
49
1/11/2013
Broken City
49
"Jan 18, 2013"
A Rubberband Is an Unlikely Instrument
49
8/02/2013
Frankenstein's Army
49
26/07/2013
Stuck in Love
49
5/07/2013
When Comedy Went to School
49
31/07/2013
Riddick
49
6/09/2013
GMO OMG
49
13/09/2013
Everybody Has a Plan
49
22/03/2013
Welcome to the Punch
49
27/03/2013
One Track Heart: The Story of Krishna Das
49
8/05/2013
Thérèse
49
"Aug 23, 2013"
The Happy Sad
49
"Aug 16, 2013"
Starbuck
49
22/03/2013
Haunter
49
18/10/2013
Oldboy
49
27/11/2013
Devil's Pass
49
"Aug 23, 2013"
Black Nativity
48
27/11/2013
The Muslims Are Coming!
48
12/09/2013
My Amityville Horror
48
15/03/2013
The Counselor
48
25/10/2013
Afternoon Delight
48
"Aug 30, 2013"
Lost for Words
48
18/10/2013
Contracted
48
22/11/2013
Emperor
48
8/03/2013
Some Girl(s)
48
28/06/2013
Last Vegas
48
1/11/2013
Bullet to the Head
48
1/02/2013
Kiss of the Damned
48
3/05/2013
Admission
48
22/03/2013
First Comes Love
48
24/07/2013
Morning
48
27/09/2013
The Sweeney
48
1/03/2013
Jayne Mansfield's Car
48
13/09/2013
The Last Days on Mars
47
"Dec 6, 2013"
RED 2
47
19/07/2013
The Network
47
27/09/2013
Bounty Killer
47
6/09/2013
Inch'Allah
47
"Aug 16, 2013"
Fists of Legend
47
"Apr 12, 2013"
Maniac
47
21/06/2013
A Teacher
47
6/09/2013
Black Rock
46
17/05/2013
And While We Were Here
46
13/09/2013
Hunky Dory
46
22/03/2013
Matru ki Bijlee ka Mandola
46
"Jan 11, 2013"
American Mary
46
31/05/2013
Chennai Express
45
"Aug 9, 2013"
Pain & Gain
45
"Apr 26, 2013"
Shanghai Calling
45
8/02/2013
The Rooftop
45
19/07/2013
The Incredible Burt Wonderstone
44
15/03/2013
Off Label
44
"Aug 9, 2013"
Colossus
44
19/07/2013
Oz the Great and Powerful
44
8/03/2013
Hellbenders
44
18/10/2013
All the Boys Love Mandy Lane
44
11/10/2013
Rapture-Palooza
44
7/06/2013
Delivery Man
44
22/11/2013
Come Out and Play
44
22/03/2013
The Secret Life of Walter Mitty
44
"Dec 25, 2013"
We're the Millers
44
"Aug 7, 2013"
Hey Bartender
44
7/06/2013
Gut Renovation
44
6/03/2013
Khumba
44
"Dec 6, 2013"
Jobs
44
"Aug 16, 2013"
Tio Papi
44
6/09/2013
Blood
44
"Aug 9, 2013"
Reaching for the Moon
43
8/11/2013
Swerve
43
"Dec 6, 2013"
Redemption
43
28/06/2013
My Best Enemy
43
"Jan 11, 2013"
The ABCs of Death
43
8/03/2013
The United States of Football
43
"Aug 23, 2013"
Violet & Daisy
43
7/06/2013
Upside Down
43
15/03/2013
Tiny Times 2.0
43
"Aug 16, 2013"
Parker
43
"Jan 25, 2013"
Desperate Acts of Magic
43
3/05/2013
Dealin' with Idiots
43
12/07/2013
The Prime Ministers: The Pioneers
43
18/10/2013
Boss
42
16/10/2013
The Internship
42
7/06/2013
Breaking the Girls
42
26/07/2013
Three Worlds
42
21/06/2013
Hours
42
"Dec 13, 2013"
Wedding Palace
42
27/09/2013
The English Teacher
42
17/05/2013
Austenland
42
"Aug 16, 2013"
Reincarnated
42
15/03/2013
The Family
42
13/09/2013
House in the Alley
42
25/10/2013
Mental
42
29/03/2013
Trap for Cinderella
42
"Dec 13, 2013"
Arthur Newman
42
"Apr 26, 2013"
Machete Kills
41
11/10/2013
The Sorcerer and the White Snake
41
8/02/2013
G.I. Joe: Retaliation
41
29/03/2013
Struck by Lightning
41
"Jan 11, 2013"
The Purge
41
7/06/2013
Angels Sing
41
1/11/2013
Olympus Has Fallen
41
22/03/2013
Kick-Ass 2
41
"Aug 16, 2013"
Hell Baby
41
6/09/2013
Sal
41
1/11/2013
Mumia: Long Distance Revolutionary
41
1/02/2013
A Girl and a Gun
41
3/07/2013
Romeo & Juliet
41
11/10/2013
Our Day Will Come
40
22/10/2013
American Meat
40
"Apr 12, 2013"
Molly's Theory of Relativity
40
1/03/2013
Gangster Squad
40
"Jan 11, 2013"
Standing Up
40
"Aug 16, 2013"
Flu
40
6/09/2013
The Last Day of August
40
4/10/2013
Beneath
40
16/07/2013
Insidious: Chapter 2
40
13/09/2013
Leonie
40
22/03/2013
Phantom
40
1/03/2013
Salinger
40
6/09/2013
Dark Tourist
40
"Aug 23, 2013"
Kai po che!
40
22/02/2013
Petunia
40
28/06/2013
Percy Jackson: Sea of Monsters
39
"Aug 7, 2013"
Dead Man Down
39
8/03/2013
Grace Unplugged
39
4/10/2013
Zaytoun
39
20/09/2013
Aftershock
39
10/05/2013
Vikingdom
39
4/10/2013
Just Like a Woman
39
5/07/2013
The Brass Teapot
39
"Apr 5, 2013"
The Numbers Station
39
"Apr 26, 2013"
Homefront
39
27/11/2013
Planes
39
"Aug 9, 2013"
The Kill Hole
39
15/03/2013
Tai Chi Hero
39
"Apr 26, 2013"
Cold Turkey
38
15/11/2013
Sweetwater
38
11/10/2013
Brief Reunion
38
"Jan 18, 2013"
A Case of You
38
6/11/2013
Free Birds
38
1/11/2013
2 Jacks
38
18/10/2013
Almost in Love
38
15/02/2013
Billy & Buddy
38
8/11/2013
Adore
37
6/09/2013
Girl Most Likely
37
19/07/2013
Winnie Mandela
37
6/09/2013
Last Love
37
1/11/2013
The Unbelievers
37
29/11/2013
Ass Backwards
37
8/11/2013
Inescapable
37
22/02/2013
The Lone Ranger
37
3/07/2013
Adventures of the Penguin King
37
"Dec 6, 2013"
Caught in the Web
37
27/11/2013
Only God Forgives
37
19/07/2013
The Frozen Ground
37
"Aug 23, 2013"
Paris-Manhattan
36
"Apr 12, 2013"
The Canyons
36
"Aug 2, 2013"
Lotus Eaters
36
"Apr 5, 2013"
Let My People Go!
36
"Jan 11, 2013"
The Hot Flashes
36
12/07/2013
Runner Runner
36
4/10/2013
Best Man Down
36
8/11/2013
The Christmas Candle
36
22/11/2013
Hôtel Normandy
36
27/09/2013
Bert Stern: Original Madman
35
"Apr 5, 2013"
Paris Countdown
35
8/11/2013
Dorfman in Love
35
22/03/2013
The Guillotines
35
14/06/2013
Drift
35
"Aug 2, 2013"
The Host
35
29/03/2013
Identity Thief
35
8/02/2013
Weekender
35
20/09/2013
Arise
35
20/09/2013
The Last Exorcism Part II
35
1/03/2013
Family Weekend
35
29/03/2013
Paradise
35
18/10/2013
Java Heat
35
10/05/2013
Escape from Planet Earth
35
15/02/2013
Diana
35
1/11/2013
Copperhead
34
28/06/2013
Twice Born
34
"Dec 6, 2013"
Bert and Arnie's Guide to Friendship
34
21/06/2013
The Smurfs 2
34
31/07/2013
Baggage Claim
34
27/09/2013
Knife Fight
34
"Jan 25, 2013"
21 and Over
34
1/03/2013
Safe Haven
34
14/02/2013
Erased
34
17/05/2013
Scenic Route
34
"Aug 23, 2013"
The Lifeguard
34
"Aug 30, 2013"
And Now a Word from Our Sponsor
33
10/05/2013
33 Postcards
33
17/05/2013
Language of a Broken Heart
33
8/03/2013
It's Better to Jump
33
22/11/2013
The Baytown Outlaws
33
"Jan 11, 2013"
My Lucky Star
33
20/09/2013
After Earth
33
31/05/2013
The Mortal Instruments: City of Bones
33
"Aug 21, 2013"
Paranoia
32
"Aug 16, 2013"
Day of the Falcon
32
1/03/2013
The Rambler
32
7/06/2013
Immigrant
32
25/10/2013
Cassadaga
32
11/10/2013
As Luck Would Have It
32
1/02/2013
The Secret Lives of Dorks
32
27/09/2013
A Perfect Man
31
1/11/2013
Live at the Foxes Den
31
"Dec 6, 2013"
Texas Chainsaw 3D
31
"Jan 4, 2013"
A Dark Truth
31
"Jan 4, 2013"
CBGB
30
4/10/2013
The Hangover Part III
30
23/05/2013
American Milkshake
30
6/09/2013
